aac.sfsu.edu,SFS-d-aac-content-manager
equity.sfsu.edu,SFS-d-equity-content-manager
"erm.sfsu.edu,safety.sfsu.edu",SFS-d-erm-content-manager
esn.sfsu.edu,SFS-d-esn-content-manager
ethnicstudies.sfsu.edu,SFS-d-ethnicstudies-content-manager
facaffairs.sfsu.edu,SFS-d-facaffairs-content-manager
"facilities.sfsu.edu,sfstatefacilities.sfsu.edu",SFS-d-facilities-content-manager
familyproject.sfsu.edu,SFS-d-familyproject-content-manager
"www.foundation.sfsu.edu,foundation.sfsu.edu,sfsufdn.sfsu.edu",SFS-d-fdn-content-manager
fellowships.sfsu.edu,SFS-d-fellowships-content-manager
"cfsd.sfsu.edu,fina.sfsu.edu",SFS-d-fina-content-manager
financialaid.sfsu.edu,SFS-d-financialaid-content-manager
"tax.sfsu.edu,financialservices.sfsu.edu,fiscaff.sfsu.edu",SFS-d-fiscaff-content-manager
"flagship.sfsu.edu,www.flagship.sfsu.edu",SFS-d-flagship-content-manager
future.sfsu.edu,SFS-d-future-content-manager
gallery.sfsu.edu,SFS-d-gallery-content-manager
"gatorgreats.sfsu.edu,hotshots.sfsu.edu",SFS-d-gatorgreats-content-manager
"you.sfsu.edu,mentalhealthcheckup.sfsu.edu,gatorhealth.sfsu.edu",SFS-d-gatorhealth-content-manager
"coe.sfsu.edu,gcoe.sfsu.edu",SFS-d-gcoe-content-manager
"accreditationprog.sfsu.edu,gcoedata.sfsu.edu",SFS-d-gcoedata-content-manager
gis.sfsu.edu,SFS-d-gis-content-manager
globalclassroom.sfsu.edu,SFS-d-globalclassroom-content-manager
govrel.sfsu.edu,SFS-d-govrel-content-manager
grad.sfsu.edu,SFS-d-grad-content-manager
graymatterlab.sfsu.edu,SFS-d-graymatters-content-manager
gsp.sfsu.edu,SFS-d-gsp-content-manager
hackathon.sfsu.edu,SFS-d-hackathon-content-manager
health.sfsu.edu,SFS-d-health-content-manager
healthequity.sfsu.edu,SFS-d-healthequity-content-manager
history.sfsu.edu,SFS-d-history-content-manager
home.sfsu.edu,SFS-d-home-content-manager
housing.sfsu.edu,SFS-d-housing-content-manager
"hr.sfsu.edu,askhr.sfsu.edu",SFS-d-hr-content-manager
"righttoknow.sfsu.edu,humanities.sfsu.edu,americanstudies.sfsu.edu,humanitiesliberalstudies.sfsu.edu",SFS-d-humanitiesliberalstudies-content-manager
ia.sfsu.edu,SFS-d-ia-content-manager
"iac.sfsu.edu,www.iac.sfsu.edu",SFS-d-iac-content-manager
